,Names,Date,Month,Location,Notes,Link
187,EduHacks,Dec 9th - 11th,Dec,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8828-eduhacks
188,Hack-on-chain,Dec 9th - 11th,Dec,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8827-hack-on-chain
189,TechEden 2.0,Dec 10th - 11th,Dec,"
          Vijaywada,
          Andhra Pradesh
        ",in_person,https://techeden.oscvitap.org/
190,AI Hacks,Dec 16th - 18th,Dec,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8829-ai-hacks
191,Support-a-thon,Dec 16th - 18th,Dec,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8830-support-a-thon
192,Design-a-thon,Dec 23rd - 25th,Dec,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8832-design-a-thon
193,Hacky Winterland 2,Dec 23rd - 25th,Dec,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8831-hacky-winterland-2
194,Hacky New Year!,Dec 30th - Jan 1st,Dec,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8833-hacky-new-year
195,"See You Later, Hackulator 2",Dec 30th - Jan 1st,Dec,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8836-see-you-later-hackulator-2
196,HackNITR 4.0,Jan 6th - 8th,Jan,"
          Everywhere,
          Worldwide
        ",online,http://hacknitr.com/
197,HackED,Jan 7th - 8th,Jan,"
          Alberta,
          Canada
        ",hybrid,https://hacked.compeclub.com/
198,HackFRee,Jan 14th - 15th,Jan,"
          Manalapan,
          New Jersey
        ",in_person,http://www.hackfree.info/
199,Rose Hack,Jan 14th - 15th,Jan,"
          Riverside,
          California
        ",in_person,https://rosehack.com
200,BoilerMake X,Jan 20th - 22nd,Jan,"
          West Lafayette,
          Indiana
        ",in_person,https://boilermake.org/
201,CivicHacks,Jan 20th - 22nd,Jan,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8993-civichacks
202,HackFit 2,Jan 20th - 22nd,Jan,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8994-hackfit-2
203,ConUHacks VII,Jan 21st - 22nd,Jan,"
          Montreal,
          Quebec
        ",in_person,https://conuhacks.io/
204,nwHacks 2023 ,Jan 21st - 22nd,Jan,"
          Vancouver,
          Canada
        ",in_person,https://www.nwhacks.io/
